StockTicker,ListedExchCode,CompanyName,Sector,Industry,Total_Mark,Total_Price_Valuation_Mark,Total_Stock_Holder_Mark,Total_Analyst_Mark,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_rm,EpsRegressGrowth_Nasdaq,EpsRegressGrowth_Nasdaq_rm,M1QEps,M1QEps_rm,M2QEps,M2QEps_rm,M3QEps,M3QEps_rm,M4QEps,M4QEps_rm,M1QvsM2Q,M1QvsM2Q_rm,M2QvsM3Q,M2QvsM3Q_rm,M3QvsM4Q,M3QvsM4Q_rm,Pe,PEG_Reuters,PEG_Reuters_rm,PEG_Nasdaq,PEG_Nasdaq_rm,PEvsIndustry,PEvsIndustry_rm,PEvsSector,PEvsSector_rm,ReturnOnEquity,ReturnOnEquity_rm,PercentageHeldByInstitutions_Nasdaq,PercentageHeldByInstitutions_Nasdaq_rm,NetSharesTradedByInstitutions,NetSharesTradedByInstitutions_rm,NetNumOfSharesTradedByInsidersIn3M,NetNumOfSharesTradedByInsidersIn3M_rm,ClosePrice,Beta,Fair_Price_PE,Fair_Price_PE_vs_Close_Price_rm,Fair_Price_PEG_Reuters,Fair_Price_PEG_Reuters_vs_Close_Price_rm,Fair_Price_PEG_Nasdaq,Fair_Price_PEG_Nasdaq_vs_Close_Price_rm,PeterLynchAnalysis_rm,BenjaminGarhamAnalysis_rm,MomentumStrategyAnalysis_rm,JamesOShaughnessyAnalysis_rm,MotleyFoolAnalysis_rm,DavidDremanAnalysis_rm,MartinZweigAnalysis_rm,KennethFisherAnalysis_rm,VolumeChange,VolumeChange_rm
NXST,IXIC,Nexstar Media Group Inc ,,Broadcasting,30.422368,5.18635,20.013796,5.222222,15,0,-13.22,0,1.861,0,1.009,0,1.185,0,0.979,0,84.44003964,0,-14.85232068,0,21.04187947,0,16.02,1.068,0,-1.211800303,0,-0.18638903,0,-0.121228744,0,16.9,0,1.162165602,20.013796,-1346112,0,-7118,0,80.65,1.77,266.9755138,0,345.2269575,5.18635,-304.2600252,0,0,0,0,5.222222,0,0,0,0,-0.5517,0
OMC,NYSE,Omnicom Group Inc ,,Advertising & Marketing,30.080449,0,14.985392,0,4.127380952,0,2.39,0,1.596,0,1.141,0,1.551,0,1.132,0,39.87730061,0,-26.43455835,0,37.01413428,0,12.73,3.084280358,0,5.326359833,0,-0.777291812,2.99562,-0.301700494,0,54.7,12.099437,1.082537204,14.985392,3728494,0,6636,0,68.98,1.08,175.3375147,0,62.38661366,0,36.12557415,0,0,0,0,0,0,0,0,0,-0.1305,0
CI,NYSE,Cigna Corp ,Healthcare,Managed Healthcare,30.025552,0,0,0,23.95119048,7.159129,9.3,0,3.285,7.550134,3.723,8.283193,1.999,0,2.21,0,-11.76470588,0,86.24312156,0,-9.547511312,0,17.39,0.726059943,7.033096,1.869892473,0,-0.261571125,0,-0.484740741,0,18.98,0,0.918953592,0,1242401,0,4732,0,195.11,0.64,215.1375534,0,444.2069415,0,172.4809696,0,0,0,0,0,0,0,0,0,0.0086,0
CVGI,IXIC,Commercial Vehicle Group Inc ,,"Auto, Truck & Motorcycle Parts",29.562342,25.579091,0,0,5.702380952,0,9.29,0,0.432,0,0.322,0,0.131,0,0.156,0,34.16149068,0,145.8015267,0,-16.02564103,0,7.8,1.367849687,0,0.839612487,0,-0.600409836,0,-0.572133845,3.983251,38.03,0,0.823527887,0,719152,0,0,0,8.13,1.75,54.65001635,15.657102,26.86510451,1.181934,43.76712516,8.740055,0,0,0,0,0,0,0,0,-0.3789,0
PLD,NYSE,Prologis Inc ,Financials,Commercial REITs,29.061689,0,29.061689,0,1.913095238,0,5.88,0,0.622,0,0.68,0,0.548,0,1.625,0,-8.529411765,0,24.08759124,0,-66.27692308,0,19.35,10.11449907,0,3.290816327,0,-0.650785057,0,0.035313002,0,12.34,0,1.131887073,19.013969,7938942,10.04772,-137094,0,67.23,0.76,79.11376242,0,13.04760019,0,40.10249336,0,0,0,0,0,0,0,0,0,-0.4035,0
FOXA,IXIC,Twenty-First Century Fox Inc ,,Entertainment Production,28.67225,0,28.67225,0,0.180952381,0,14.72,0,0.497,0,0.471,0,0.289,0,0.453,0,5.520169851,0,62.97577855,0,-36.20309051,0,26.21,144.8447368,0,1.780570652,0,-0.331888861,0,0.437739989,0,18,0,0.961449223,0,44139681,28.67225,0,0,44.81,1.32,67.61423812,0,1.054737705,0,85.80013665,0,0,0,0,0,0,0,0,0,-0.2093,0
VBTX,IXIC,Veritex Holdings Inc ,Financials,Banks,28.49904,13.720759,0,0,2.191666667,0,39.33,14.778281,0.411,0,0.457,0,0.268,0,0.252,0,-10.06564551,0,70.52238806,0,6.349206349,0,21.55,9.83269962,0,0.54792779,0,0.200557103,0,0.153023007,0,8.66,0,0.734097975,0,444702,0,-3750,0,29.91,1.4,58.21749021,0,10.99942523,0,197.3874043,13.720759,0,0,0,0,0,0,0,0,-0.3734,0
INVA,IXIC,Innoviva Inc ,Healthcare,Pharmaceuticals,26.551213,13.552099,0,0,4.719047619,0,-9.29,0,0.482,0,0.26,0,0.49,0,0.198,0,85.38461538,0,-46.93877551,0,147.4747475,0,10.3,2.182643794,0,-1.108719053,0,-0.67589679,0,-0.694814815,12.999114,0,0,0.74137344,0,-809824,0,-24030,0,14.73,2.17,92.97829127,13.552099,37.82491242,0,-74.46278672,0,0,0,0,0,0,0,0,0,-0.2595,0
RL,NYSE,Ralph Lauren Corp ,,Apparel & Accessories,25.424951,0,11.002194,0,19.45357143,1.174424,7.71,0,1.309,0,0.381,0,1.83,0,1.747,0,243.5695538,13.248333,-79.18032787,0,4.751001717,0,25.02,1.286139159,0,3.245136187,0,-0.557246505,0,0.372462973,0,12.79,0,1.064579069,11.002194,1153027,0,-6295,0,131.74,0.68,107.2742708,0,179.902387,0,71.30039895,0,0,0,0,0,0,0,0,0,0.0063,0
AXTI,IXIC,AXT Inc ,Technology,Semiconductors,25.360158,9.648242,0,0,0.576190476,0,40.69,15.711916,0.096,0,0.071,0,0.076,0,0.109,0,35.21126761,0,-6.578947368,0,-30.27522936,0,20.84,36.16859504,0,0.512165151,0,0.357654723,0,0.543703704,0,8.03,0,0.56216074,0,-649639,0,0,0,7.35,1.08,11.41220816,0,0.566862556,0,40.03127155,9.648242,0,0,0,0,0,0,0,0,-0.2651,0
CFFI,IXIC,C&F Financial Corp ,Financials,Banks,24.918985,0,0,0,2.704761905,0,0,0,1.447,0,1.112,0,0.053,0,0.865,0,30.12589928,0,1998.113208,22.918985,-93.87283237,0,17.23,6.370246479,0,NULL,2,-0.040111421,0,-0.07811664,0,8.35,0,0.34585698,0,-14466,0,-15000,0,59.9,0.92,95.8265112,0,22.34378422,0,NULL,0,0,0,0,0,0,0,0,0,-0.8827,0
FOX,IXIC,Twenty-First Century Fox Inc ,,Entertainment Production,24.811931,0,14.811931,0,0.180952381,0,0,0,0.497,0,0.471,0,0.289,0,0.453,0,5.520169851,0,62.97577855,0,-36.20309051,0,26.21,144.8447368,0,NULL,10,-0.331888861,0,0.437739989,0,18,0,0.570216713,0,10589117,14.811931,-621390,0,44.42,1.32,67.02576339,0,1.045557885,0,NULL,0,0,0,0,0,0,0,0,0,-0.1778,0
NVDA,IXIC,NVIDIA Corp ,Technology,Semiconductors,24.331564,0,0,11.222222,17.15714286,0,7.9,0,1.759,0,1.984,0,1.568,0,1.334,0,-11.34072581,0,26.53061224,0,17.54122939,0,41.6,2.424646128,0,5.265822785,0,1.71009772,0,2.081481481,0,56.46,13.109342,0.669112755,0,2763571,0,-102250,0,276.43,1.62,322.5248354,0,477.0348859,0,219.6505345,0,0,0,11.222222,0,0,0,0,0,-0.1612,0
WBA,IXIC,Walgreens Boots Alliance Inc ,Consumer Non-Cyclicals,Drug Retailers,23.386853,0,0,0,4.623809524,0,7.92,0,1.208,0,1.54,0,0.812,0,0.758,0,-21.55844156,0,89.65517241,0,7.124010554,0,16.28,3.520906282,0,2.055555556,0,-0.24137931,0,-0.59054326,4.999578,14.94,0,0.63626923,0,4599070,0,1693664,18.387275,70.28,1.03,133.2204455,0,53.10223833,0,90.9574076,0,0,0,0,0,0,0,0,0,-0.4855,0
ON,IXIC,ON Semiconductor Corp ,Technology,Semiconductors,23.221376,0,6.551108,0,3.078571429,0,8.63,0,0.35,0,0.314,0,0.184,0,0.254,0,11.46496815,0,70.65217391,0,-27.55905512,0,18.02,5.853364269,0,2.08806489,0,0.189438944,0,0.355906697,0,18.71,0,0.942062845,0,7234378,6.551108,676170,16.670268,19.87,1.99,65.74344558,0,17.44792182,0,48.91085649,0,0,0,0,0,0,0,0,0,-0.0316,0
WY,NYSE,Weyerhaeuser Co ,Financials,Specialized REITs,23.048356,0,0,0,4.247619048,0,-3.02,0,0.417,0,0.354,0,0.426,0,0.172,0,17.79661017,0,-16.90140845,0,147.6744186,0,24.89,5.859753363,0,-8.241721854,0,-0.898664604,14.021708,0.331728197,0,11.31,0,0.781492433,0,852087,0,57645,9.026648,34.06,1.35,55.34900526,0,20.26736974,0,-14.40982723,0,0,0,0,0,0,0,0,0,-0.3204,0
PFG,IXIC,Principal Financial Group Inc ,Financials,Life & Health Insurance,22.86914,10.801837,0,2.666667,6.683333333,0,4.41,0,1.579,0,1.356,0,0.833,0,2.764,9.400636,16.44542773,0,62.78511405,0,-69.86251809,0,8.72,1.304738155,0,1.977324263,0,-0.457373989,0,-0.533440342,0,16.74,0,0.707178504,0,-81515,0,-56291,0,56.94,1.46,285.6341556,10.801837,164.5679546,0,108.5902264,0,0,0,0,0,0,2.666667,0,0,0.1349,0
RDIB,IXIC,Reading International Inc ,,Leisure & Recreation,22.382907,4.487703,0,0,4.194047619,0,0,0,0.22,0,0.335,0,0.888,0,0.067,0,-34.32835821,0,-62.27477477,0,1225.373134,17.895204,10.5,2.503548112,0,NULL,0,-0.762872629,0,-0.42402633,0,20.01,0,0.072883403,0,69,0,0,0,26.6,1.35,102.46662,4.487703,37.04740376,0,NULL,0,0,0,0,0,0,0,0,0,-0.1209,0
PFIE,IXIC,Profire Energy Inc ,Energy,Oil Related Services and Equipment,22.140321,0,9.140321,13,0.5,0,14.29,0,0.035,0,0.038,0,0.028,0,0.025,0,-7.894736842,0,35.71428571,0,12,0,24.38,48.76,0,1.706088174,0,0.040990606,0,1.043587594,0,14.54,0,0.419774198,0,7844599,9.140321,-8125000,0,3.06,1.94,7.295343741,0,0.314454472,0,8.987108798,0,0,0,0,0,13,0,0,0,-0.7578,0
SBNY,IXIC,Signature Bank ,Financials,Banks,21.792,0,0,0,4.001190476,0,1.75,0,2.831,0,0.634,0,2.066,0,2.292,5.384549,346.5299685,16.407451,-69.31268151,0,-9.860383944,0,15.3,3.823861946,0,8.742857143,0,-0.147632312,0,-0.181380417,0,10.73,0,0.962994002,0,-946341,0,0,0,119.66,1.01,236.6656596,0,81.6331365,0,35.70387107,0,0,0,0,0,0,0,0,0,0.0751,0
BUSE,IXIC,First Busey Corp ,Financials,Banks,21.717776,0,0,9.666667,1.84047619,0,6.8,0,0.505,0,0.446,0,0.414,0,0.41,0,13.22869955,0,7.729468599,0,0.975609756,0,17.66,9.59534282,0,2.597058824,0,-0.016155989,0,-0.055109684,0,10.95,0,0.50582444,0,339525,0,97199,12.051109,31.34,0.95,50.51126008,0,8.014204442,0,29.61004901,0,0,0,0,0,0,0,9.666667,0,0.0856,0
QRTEB,IXIC,Qurate Retail Inc ,NULL,Department Stores,21.489021,2.487703,0,0,5.86547619,0,0,0,0.397,0,0.505,0,1.035,0,0.263,0,-21.38613861,0,-51.20772947,0,293.5361217,7.011184,10.07,1.716825655,0,NULL,0,-0.858904302,11.990134,-0.447613823,0,18.59,0,0.005256169,0,25312,0,0,0,22.18,1.29,85.12910866,2.487703,43.04506551,0,NULL,0,0,0,0,0,0,0,0,0,1.0825,0
DMLP,IXIC,Dorchester Minerals LP ,Energy,Oil & Gas Exploration and Production,21.227003,0,0,10,3.508333333,0,0,0,0.489,0,0.328,0,0.427,0,0.215,0,49.08536585,0,-23.18501171,0,98.60465116,0,12.81,3.651306413,0,NULL,0,0.041463415,0,0.057803468,0,53.19,11.227003,0.178270167,0,433505,0,2747,0,18.7,0.73,31.92799461,0,9.656383428,0,NULL,0,0,0,0,0,10,0,0,0,-0.199,0
PH,NYSE,Parker-Hannifin Corp ,Industrials,Industrial Machinery & Equipment,21.077756,4.28644,0,0,20.45119048,2.259241,8.52,0,2.83,0,2.696,0,2.975,4.484851,2.102,0,4.970326409,0,-9.378151261,0,41.53187441,0,17.65,0.863030444,3.032732,2.071596244,0,-0.26181514,0,-0.25933697,0,25.86,0,0.834586295,0,-810694,0,27863,7.014492,187.15,1.4,444.7638306,0,784.1336049,4.28644,326.6713652,0,0,0,0,0,0,0,0,0,-0.3398,0
BMCH,IXIC,BMC Stock Holdings Inc ,Basic Materials,Forest & Wood Products,21.010416,0,15.985715,0,4.853571429,0,4.27,0,0.6,0,0.23,0,0.208,0,0.273,0,160.8695652,5.024701,10.57692308,0,-23.80952381,0,16.66,3.432523915,0,3.901639344,0,-0.627376426,0,-0.497738921,0,11.65,0,1.084278611,15.985715,-1138720,0,-27151,0,21.85,1.44,56.58420792,0,23.6754737,0,20.82884205,0,0,0,0,0,0,0,0,0,-0.1348,0
FLIC,IXIC,First of Long Island Corp ,Financials,Banks,21,0,0,0,0.852380952,0,0,0,0.403,0,0.44,0,0.34,0,0.379,0,-8.409090909,0,29.41176471,0,-10.29023747,0,13.89,16.29553073,0,NULL,21,-0.226183844,0,-0.25682183,0,11.11,0,0.569406952,0,635140,0,4799,0,21.7,0.62,29.02053952,0,2.132461648,0,NULL,0,0,0,0,0,0,0,0,0,-0.5036,0
MOS,NYSE,Mosaic Co ,Basic Materials,Agricultural Chemicals,20.85907,0,12.382449,0,1.696428571,0,26.93,8.476621,0.175,0,0.11,0,0.075,0,0.646,0,59.09090909,0,46.66666667,0,-88.39009288,0,30.59,18.032,0,1.135907909,0,0.115609044,0,-0.077781128,0,3.65,0,0.767842032,0,8734364,12.382449,-8229,0,30.79,1.55,46.74317569,0,6.835901618,0,108.5167001,0,0,0,0,0,0,0,0,0,-0.5842,0
EBTC,IXIC,Enterprise Bancorp Inc ,Financials,Banks,20.833333,0,0,4.833333,3.442857143,0,0,0,0.644,0,0.583,0,0.644,0,0.472,0,10.46312178,0,-9.472049689,0,36.44067797,0,14.32,4.1593361,0,NULL,16,-0.202228412,0,-0.233814874,0,11.79,0,0.212998632,0,-774,0,-1717,0,33.55,0.73,51.24230667,0,15.20861565,0,NULL,0,0,0,0,0,0,0,4.833333,0,0.3897,0
IFF,NYSE,International Flavors & Fragrances Inc ,Consumer Non-Cyclicals,Food Processing,20.819784,0,0,0,4.105952381,0,7.67,0,1.248,0,1.634,0,1.249,0,1.387,0,-23.62301102,0,30.82465973,0,-9.949531363,0,24.74,6.025398666,0,3.225554107,0,0.1882805,0,-0.3777666,0,25.55,0,0.858057295,0,478009,0,1600000,20.819784,136.5,1.04,171.9184947,0,60.85251317,0,113.6736944,0,0,0,0,0,0,0,0,0,0.4979,0
AMWD,IXIC,American Woodmark Corp ,,Construction Supplies & Fixtures,20.20268,0,0,0,0.170238095,0,13.65,0,1.406,0,1.086,0,0.048,0,1.214,0,29.46593002,0,2162.5,20.20268,-96.0461285,0,22.43,131.7566434,0,1.643223443,0,-0.03609798,0,0.230389468,0,13.12,0,0.837788625,0,117272,0,740,0,84.2,1.87,210.3200755,0,3.086593883,0,247.4887096,0,0,0,0,0,0,0,0,0,-0.1726,0
CASS,IXIC,Cass Information Systems Inc ,Industrials,Business Support Services,20,0,0,0,1.903571429,0,0,0,0.603,0,0.651,0,0.574,0,0.552,0,-7.373271889,0,13.41463415,0,3.985507246,0,28.23,14.83001876,0,NULL,20,-0.053002348,0,0.184641209,0,13.22,0,0.503145764,0,118166,0,-9110,0,67.23,1.05,74.92001174,0,12.29444774,0,NULL,0,0,0,0,0,0,0,0,0,-0.6663,0
HST,NYSE,Host Hotels & Resorts Inc ,Financials,Specialized REITs,19.996002,0,5.002401,0,1.710714286,0,0.97,0,0.282,0,0.342,0,0.132,0,0.141,0,-17.54385965,0,159.0909091,0,-6.382978723,0,24.03,14.04676409,0,24.77319588,0,-0.902165947,14.993601,0.285714286,0,9.33,0,1.009059139,5.002401,3967893,0,0,0,21.57,1.27,34.15516596,0,5.037045718,0,2.856078532,0,0,0,0,0,0,0,0,0,-0.1687,0
KFRC,IXIC,Kforce Inc ,Industrials,Employment Services,19.040404,0,0,19.040404,3.283333333,0,15.67,0,0.646,0,0.366,0,0.45,0,0.396,0,76.50273224,0,-18.66666667,0,13.63636364,0,21.4,6.517766497,0,1.365666879,0,-0.434759641,0,-0.101972304,0,33,0,0.84139311,0,124714,0,-101862,0,39.75,1.65,91.82556484,0,25.99085671,0,124.0436725,0,9.818182,0,9.222222,0,0,0,0,0,-0.4817,0
PTSI,IXIC,PAM Transportation Services Inc ,Industrials,Ground Freight & Logistics,18.595101,0,0,0,6.317857143,0,0,0,1.17,0,0.221,0,0.363,0,0.541,0,429.4117647,18.595101,-39.1184573,0,-32.90203327,0,24.89,3.939626908,0,NULL,0,0.050654285,0,0.044481746,0,12.78,0,0.276861579,0,-14103,0,-36775,0,57.12,1.35,92.82252439,0,50.55512489,0,NULL,0,0,0,0,0,0,0,0,0,-0.3543,0
VNOM,IXIC,Viper Energy Partners LP ,Energy,Oil & Gas Exploration and Production,18.350857,0,0,4.222222,11.9797619,0,12.3,0,1.354,0,0.376,0,0.369,0,0.241,0,260.106383,14.128635,1.89701897,0,53.1120332,0,16.53,1.379827089,0,1.343902439,0,0.343902439,0,0.364987614,0,39.22,0,0.611727222,0,1532734,0,7700,0,38.67,1.01,70.79115479,0,73.10872236,0,75.06303482,0,0,0,4.222222,0,0,0,0,0,-0.6391,0
UBSH,IXIC,Union Bankshares Corp ,Financials,Banks,18.03654,0,0,9,1.35,0,5.9,0,0.755,0,0.252,0,0.49,0,0.472,0,199.6031746,9.03654,-48.57142857,0,3.813559322,0,20.7,15.33333333,0,3.508474576,0,0.153203343,0,0.107544141,0,7.5,0,0.762826855,0,1673912,0,2038,0,40.75,1.13,66.64875109,0,7.756535687,0,33.89893374,0,0,0,0,0,9,0,0,0,-0.5249,0
AHGP,IXIC,Alliance Holdings GP LP ,Energy,Coal,18,0,0,0,6.636904762,0,0,0,1.733,0,0.823,0,0.654,0,0.711,0,110.5710814,0,25.84097859,0,-8.016877637,0,7.24,1.090869955,0,NULL,18,-0.380136986,0,-0.480631277,0,37.39,0,0,0,0,0,0,0,28.37,0.63,73.96352888,0,42.31800837,0,NULL,0,0,0,0,0,0,0,0,0,-0.4344,0
USB,NYSE,U.S. Bancorp ,Financials,Banks,17.575937,0,17.575937,0,1.051190476,0,6.81,0,1.019,0,0.964,0,0.421,0,0.885,0,5.705394191,0,128.9786223,0,-52.42937853,0,16.46,15.65843715,0,2.417033774,0,-0.083008357,0,-0.119315142,0,12.54,0,0.758402271,0,14441020,17.575937,-73976,0,54.14,1,98.54729891,0,8.930343281,0,57.85406082,0,0,0,0,0,0,0,0,0,-0.08,0
CVX,NYSE,Chevron Corp ,Energy,Oil & Gas Refining and Marketing,17.428028,0,8.141213,3.222222,16.43452381,0,15.69,0,1.776,0,1.902,0,0.572,0,1.03,0,-6.624605678,0,232.5174825,6.064593,-44.46601942,0,22.23,1.352640348,0,1.416826004,0,0.064655172,0,0.835672998,0,6.76,0,0.660373663,0,7567181,8.141213,-4750,0,117.38,1.07,169.2757415,0,239.8246727,0,228.9600331,0,0,0,0,3.222222,0,0,0,0,-0.2348,0
TDG,NYSE,TransDigm Group Inc ,Industrials,AERO/DEF,17.403339,0,0,0,19.10952381,0,NULL,0,3.91,9.677212,3.63,5.339663,1.956,0,2.223,2.386464,7.713498623,0,85.58282209,0,-12.01079622,0,31.68,1.657812111,0,NULL,0,0.191873589,0,0.329416702,0,0,0,NULL,0,NULL,0,NULL,0,369.99,0.76,265.9345169,0,438.0932744,0,NULL,0,0,0,0,0,0,0,0,0,0.246,0
IAC,IXIC,IAC/InterActiveCorp ,Technology,Internet Services,17.002215,0,6.985535,0,16.93571429,0,14.04,0,2.401,0,0.798,0,1.089,0,2.06,0,200.877193,10.01668,-26.72176309,0,-47.13592233,0,34.62,2.044200759,0,2.465811966,0,-0.481115108,0,1.60496614,0,24.86,0,1.019338105,6.985535,-2813748,0,-11784,0,219.75,1.23,233.9177814,0,341.5141993,0,283.1211768,0,0,0,0,0,0,0,0,0,-0.2428,0
FNLC,IXIC,First Bancorp Inc ,Financials,Banks,17,0,0,0,1.746428571,0,0,0,0.528,0,0.508,0,0.482,0,0.46,0,3.937007874,0,5.394190871,0,4.782608696,0,14.46,8.279754601,0,NULL,17,-0.194428969,0,-0.226324238,0,11.88,0,0.332362874,0,47986,0,-4000,0,28.62,0.68,40.32427369,0,6.07098825,0,NULL,0,0,0,0,0,0,0,0,0,-0.4745,0
MIDD,IXIC,Middleby Corp ,,"Appliances, Tools & Housewares",16.990669,0,16.990669,0,0.453571429,0,11.52,0,1.511,0,1.177,0,1.351,0,1.314,0,28.37723025,0,-12.87934863,0,2.815829528,0,23.58,51.98740157,0,2.046875,0,-0.225106802,0,0.293472298,0,20.44,0,1.09105464,16.990669,3550149,0,0,0,126.21,1.84,295.0693456,0,11.53750212,0,293.0343846,0,0,0,0,0,0,0,0,0,-0.6199,0
STLD,IXIC,Steel Dynamics Inc ,Basic Materials,Steel,16.800506,0,0,8.818182,11.54404762,0,-11.88,0,1.53,0,0.957,0,0.528,0,0.636,0,59.87460815,0,81.25,0,-16.98113208,0,12.82,1.11052903,0,-1.079124579,0,-0.100350877,0,-0.61350618,7.982324,25.46,0,0.852454873,0,526872,0,-51001,0,46.82,1.31,143.341183,0,142.6497795,0,-146.8011426,0,8.818182,0,0,0,0,0,0,0,-0.0237,0
ARCB,IXIC,ArcBest Corp ,Industrials,Ground Freight & Logistics,16.771105,0,3.984057,2.689655,0.144047619,0,5.49,0,0.046,0,0.272,0,0.449,0,0.559,0,-83.08823529,0,-39.42093541,0,-19.67799642,0,37.16,257.9702479,0,6.76867031,0,0.568594344,0,0.559378934,0,5.53,0,0.990360653,3.984057,691039,0,81200,10.097393,49.25,2.09,82.99140561,0,1.030578826,0,39.27782903,0,0,0,0,0,0,0,0,2.689655,-0.3714,0
FNCB,IXIC,FNCB Bancorp Inc ,Financials,Banks,16.579841,0,0,0,0.307142857,0,0,0,0.143,0,0.12,0,0.113,0,0.135,0,19.16666667,0,6.194690265,0,-16.2962963,0,20.6,67.06976744,0,NULL,4,0.147632312,0,0.102193686,0,9.36,0,0.044922052,0,2510,0,0,0,10.55,0.75,11.50807828,0,0.304708969,0,NULL,0,0,0,0,0,0,0,0,0,11.1127,12.579841
PGC,IXIC,Peapack-Gladstone Financial Corp ,Financials,Banks,16.5,0,0,16.5,3.302380952,0,8.68,0,0.624,0,0.572,0,0.646,0,0.563,0,9.090909091,0,-11.45510836,0,14.74245115,0,13.49,4.084931507,0,1.554147465,0,-0.248467967,0,-0.274341044,0,11.31,0,0.726665293,0,32347,0,0,0,32.44,0.83,59.80029038,0,17.02442585,0,44.74711383,0,0,0,0,0,0,0,16.5,0,-0.5648,0
ALLE,NYSE,Allegion PLC ,Technology,Communications & Networking,16.301878,0,0,0,9.254761905,0,9.48,0,1.191,0,0.754,0,0.645,0,0.937,0,57.95755968,0,16.89922481,0,-31.16328709,0,24.9,2.690506818,0,2.626582278,0,0.977760127,0,0.844444444,0,87.59,16.301878,0.961548172,0,-1794339,0,-3281,0,87.82,1.08,114.1232539,0,91.05030538,0,93.26624541,0,0,0,0,0,0,0,0,0,0.0419,0
PAHC,IXIC,Phibro Animal Health Corp ,Healthcare,Pharmaceuticals,16.058384,0,11.984766,0,1.233333333,0,9.92,0,0.447,0,0.491,0,0.34,0,0.394,0,-8.961303462,0,44.41176471,0,-13.70558376,0,26.15,21.2027027,0,2.63608871,0,-0.177155444,0,-0.225185185,0,40.21,1.072894,1.065355747,11.984766,1581919,0,15817,3.000724,43.75,0.91,45.61461998,0,4.849830285,0,39.00836467,0,0,0,0,0,0,0,0,0,0.7491,0
KLAC,IXIC,KLA-Tencor Corp ,Technology,Semiconductor Equipment & Testing,15.304255,0,0,0,10.35952381,0,5.52,0,1.871,0,1.978,0,1.965,0,1.78,0,-5.40950455,0,0.661577608,0,10.39325843,0,13.76,1.32824638,0,2.492753623,0,-0.03166784,0,0.019259259,0,80.97,15.304255,0.931584454,0,-289636,0,-9390,0,104.47,1.56,354.8575614,0,316.9099445,0,168.8632534,0,0,0,0,0,0,0,0,0,-0.1828,0
HOLI,IXIC,Hollysys Automation Technologies Ltd ,Industrials,Electrical Components & Equipment,15.180436,15.180436,0,0,3.154761905,0,14.86,0,0.453,0,0.356,0,0.591,0,0.349,0,27.24719101,0,-39.76311337,0,69.34097421,0,11.73,3.718188679,0,0.789367429,0,-0.541796875,0,-0.507763324,0,13.69,0,0.738180372,0,-518396,0,0,0,20.51,1.58,82.77154082,7.548583,22.51073308,0,106.033198,7.631853,0,0,0,0,0,0,0,0,0.0613,0
SNHY,IXIC,Sun Hydraulics Corp ,Industrials,Industrial Machinery & Equipment,15.018921,0,0,0,1.188095238,0,26.35,7.992459,0.215,0,0.4,0,0.119,0,0.417,0,-46.25,0,236.1344538,7.026462,-71.46282974,0,46.44,39.08777555,0,1.762428843,0,0.942283563,0,0.948804029,0,8.74,0,0.876562854,0,-409233,0,-45892,0,53.46,1.67,57.59828058,0,5.899331283,0,130.8374736,0,0,0,0,0,0,0,0,0,-0.2716,0
FCBC,IXIC,First Community Bancshares Inc ,Financials,Banks,15,0,0,0,2.651190476,0,0,0,0.54,0,0.52,0,0.454,0,0.448,0,3.846153846,0,14.53744493,0,1.339285714,0,17.1,6.449932645,0,NULL,15,-0.040942232,0,-0.080150619,0,9.7,0,0.418400358,0,-22114,0,180,0,33.57,0.6,35.29090421,0,8.065768029,0,NULL,0,0,0,0,0,0,0,0,0,-0.5145,0
SNA,NYSE,Snap-On Inc ,Industrials,Industrial Machinery & Equipment,14.868505,0,0,6.526316,8.90952381,0,7.11,0,3.11,2.608043,2.865,1.330063,2.237,0,2.288,4.404083,8.551483421,0,28.07331247,0,-2.229020979,0,17.54,1.96867985,0,2.466947961,0,-0.266415726,0,-0.263953,0,20.64,0,0.985035282,0,-14326286,0,-89743,0,186.42,1.14,363.0145819,0,278.8178501,0,222.5029032,0,0,6.526316,0,0,0,0,0,0,-0.0356,0
SFNC,IXIC,Simmons First National Corp ,Financials,Banks,14.625005,0,0,0,1.58452381,0,8.44,0,0.578,0,0.554,0,0.085,0,0.445,0,4.332129964,0,551.7647059,14.625005,-80.8988764,0,18.99,11.98467318,0,2.25,0,0.057938719,0,0.016051364,0,8.35,0,0.644808235,0,-143918,0,-6667,0,31.55,0.99,49.27945521,0,6.731419837,0,35.8550519,0,0,0,0,0,0,0,0,0,0.0459,0
HOMB,IXIC,Home BancShares Inc ,Financials,Banks,14.56016,0,0,0,1.266666667,0,8.62,0,0.437,0,0.419,0,0.346,0,0.102,0,4.295942721,0,21.0982659,0,239.2156863,1.13258,17.62,13.91052632,0,2.044083527,0,-0.018384401,0,-0.057249866,0,11.83,0,0.654006581,0,-841954,0,200611,13.42758,22.98,1.09,42.59189104,0,4.650838677,0,31.6501811,0,0,0,0,0,0,0,0,0,0.3876,0
