StockTicker,Ric,CompanyName,Sector,Industry,BelongToIndex,ListedExchCode,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_Nasdaq,M1QEps,M2QEps,M3QEps,M4QEps,M5QEps,M6QEps,M7QEps,M8QEps,PEG_Reuters,PEG_Nasdaq,Pe,PEvsIndustry,PEvsSector,IndustryPe,SectorPe,5YrHighPe,Industry5YrHighPe,Sector5YrHighPe,5YrLowPe,Industry5YrLowPe,Sector5YrLowPe,ReturnOnEquity,IndustryReturnOnEquity,SectorReturnOnEquity,ReturnOnEquity5YrAvg,IndustryReturnOnEquity5YrAvg,SectorReturnOnEquity5YrAvg,PercentageHeldByInstitutions,Source,PercentageHeldByInstitutions,NetSharesTradedByInstitutions,NetNumOfSharesTradedByInsidersIn3M,ClosePrice,52WkHigh,52WkLow,VolumeChange,Volume,AvgVolume,QuickRatio,IndustryQuickRatio,SectorQuickRatio,TotalDebtToEquity,IndustryTotalDebtToEquity,SectorTotalDebtToEquity,InterestCoverage,IndustryInterestCoverage,SectorInterestCoverage
YNDX,YNDX.OQ,"Yandex NV ",Technology,"Internet Services",.IXIC,IXIC,49.396428571399994,38.2,10.606,2.719,10.647,2.542,3.747,7.475,6.297,3.31,1.7896030655783617,2.3141361256544504,88.4,1.4074074074074074,5.748091603053436,36.72,13.1,71.27,56.29,25.54,19.94,21.51,9.78,10.97,20.54,18.13,18.01,22.35,13.51,83.63,Nasdaq,0.7875097631282115,17062777,0,41.26,44.48,21.43,0.4053,1128801,803218,0,1.69,1.74,21.53,34.39,17.21,0,71.58,8.98
ALLE,ALLE.N,"Allegion PLC ",Technology,"Communications & Networking",.SPX,NYSE,4.05357142857,9.9,0.657,0.937,1.1,0.712,0.77,0.017,0.981,0.595,5.955242290750998,2.4383838383838383,24.14,1.3211538461538463,0.8427480916030534,10.4,13.1,118.29,48.54,25.54,23.46,14.17,9.78,126.94,-0.25,18.13,99.02,10.49,13.51,96.75,Nasdaq,0.9780543783159111,-196005,44651,82.23,89.81,72.46,0.0416,210664,202244,1.72,1.84,1.74,367.85,49.34,17.21,7.05,12.72,8.98
HMSY,HMSY.OQ,"HMS Holdings Corp ",Healthcare,"Healthcare Facilities & Services",.IXIC,IXIC,1.39761904762,22.62,0.306,0.074,0.076,0.017,0.122,0.166,0.117,0.054,39.47427597953017,2.438992042440318,55.17,0.9563829787234044,0.6493273542600897,28.2,33.45,133.64,130.68,46.2,41.97,24.6,24.23,4.29,8.32,15.39,5.32,10.94,17,0,Nasdaq,0.9686674040245469,-5260898,1572,16.94,20.9,11.01,0.7168,369375,215153,0,5.26,2.42,39.59,47.08,15.44,7.03,-32.12,38.65
ODFL,ODFL.OQ,"Old Dominion Freight Line Inc ",Industrials,"Ground Freight & Logistics",.IXIC,IXIC,5.47738095238,12.15,1.121,1.242,1.194,0.798,0.831,1.033,0.976,0.718,5.778309063248125,2.6049382716049383,31.65,0.2913096695226436,0.3719115734720415,24.51,23.07,30.21,25.34,41.83,16.55,13.9,14.37,17.39,11.03,13.95,17.92,10.75,10.81,76.47,Nasdaq,0.7784185320967272,1588539,17225,138.79,150.31,80.56,0.3688,356961,260786,0,0.88,1.74,4.17,32.75,92.81,113.2,49.31,52.84
PEP,PEP.OQ,"PepsiCo Inc ","Consumer Non-Cyclicals","Non-Alcoholic Beverages",".SPX, .IXIC",IXIC,5.83571428571,8.09,1.227,1.491,1.461,0.915,0.973,1.372,1.377,0.638,3.668788249696697,2.646477132262052,21.41,-0.316847479259732,-0.5248557478917,31.34,45.06,27.38,55.68,47.2,19.14,23.7,28.21,65.53,12.42,76.37,39.38,9.87,76.84,72.54,Nasdaq,0.7084237499323205,-128290,0,109.04,122.51,106.19,0.3503,1937816,1435076,1.37,1.17,0.98,360.74,67.8,39.89,7.67,17.93,45.29
EXLS,EXLS.OQ,"Exlservice Holdings Inc ",Industrials,"Business Support Services",.IXIC,IXIC,2.71904761905,9.05,0.582,0.601,0.582,0.478,0.446,0.463,0.474,0.402,9.120840630464869,2.740331491712707,24.8,-0.2290954305253342,0.0749891634156914,32.17,23.07,29.78,32.32,41.83,19.43,16.81,14.37,13.8,13.32,13.95,12.06,13.44,10.81,94.47,Nasdaq,0.9546455233774268,-243155,244399,56.83,64.21,44.81,0.4942,85709,57361,0,1.42,1.74,10.22,67.04,92.81,0,24.02,52.84
AEP,AEP.N,"American Electric Power Company Inc ",Utilities,"Electric Utilities",.SPX,NYSE,7.09523809524,5.89,0.758,1.105,0.761,1.204,0.759,-1.557,1.026,1.02,2.400201342281235,2.8913412563667236,17.03,0.29309035687167806,-0.2097447795823666,13.17,21.55,50.46,39.9,27.32,15.48,7.17,9.4,10.57,10.3,7.73,8.61,9.14,16.34,73.56,Nasdaq,0.7193623797270765,-592681,0,65.18,78.07,63.32,0.3679,1298577,949316,0.4,1.25,2.11,124.66,142.88,104.27,4.65,7.98,8
SYBT,SYBT.OQ,"Stock Yards Bancorp Inc ",Financials,Banks,.IXIC,IXIC,0.6940476190479999,5.86,0.472,0.51,0.456,0.469,0.461,0.459,0.445,0.435,26.48233276156351,3.136518771331058,18.38,-0.09680589680589691,-0.10603112840466922,20.35,20.56,26.08,20.32,23.28,14.13,11.29,11.38,0,16.23,15.6,0,19.76,18.87,48.9,Nasdaq,0.47894596621234176,-29396,5201,35.95,45.5,31.9,0.2114,20588,16995,0,0,0.04,0,54.5,57.27,0,0,4.05
XEL,XEL.OQ,"Xcel Energy Inc ",Utilities,"Electric Utilities",".SPX, .IXIC",IXIC,1.38333333333,5.96,0.416,0.966,0.446,0.47,0.446,0.898,0.386,0.474,13.532530120514537,3.140939597315436,18.72,0.4214123006833712,-0.13132250580046412,13.17,21.55,20.91,39.9,27.32,14.63,7.17,9.4,10.42,10.3,7.73,10.18,9.14,16.34,75.16,Nasdaq,0.7448383596284093,1314970,110035,43.03,52.21,41.51,0.2519,1348097,1076841,0.58,1.25,2.11,137.85,142.88,104.27,3.83,7.98,8
WEC,WEC.N,"WEC Energy Group Inc ",Utilities,"Electric Utilities",.SPX,NYSE,3.3309523809500003,5.94,1.368,0.678,0.627,1.124,0.614,0.685,0.572,1.092,5.677055039317853,3.1835016835016834,18.91,0.4358390280941533,-0.12250580046403714,13.17,21.55,21.91,39.9,27.32,16.45,7.17,9.4,10.84,10.3,7.73,11.32,9.14,16.34,74.9,Nasdaq,0.7447740410212205,-439084,82911,59.47,70.07,58.05,0.0853,578924,533400,0.43,1.25,2.11,116.24,142.88,104.27,6.57,7.98,8
